Frame,Timestamp,Time_sec,X,Y,Width,Height,dT,dX,dY,Velocity,Tracking_Mode,Is_Lost,Continuous_Count,Total_Loss_Count,Error_X,Error_Y,Servo_X,Servo_Y,Servo_Offset,Chassis_Linear_X,Chassis_Angular_Z,Chassis_Compensation,Frame_Time_ms,FPS,CSRT_Active,Distance_State
10,2026-03-11 16:20:31.670,15.6425,275.84,341.93,72.8,72.8,0.1081,-1.95,-0.74,19.25,LAB,0,3,0,-44.16,101.93,1534,1579,34,0.0,0.0,0.0,31.66,31.58,0,LOST
20,2026-03-11 16:20:32.591,16.5631,330.27,227.0,72.38,72.38,0.0723,0.38,-0.64,10.32,LAB,0,13,0,10.27,-13.0,1569,1641,69,0.0,0.0,0.0,36.22,27.61,0,LOST
30,2026-03-11 16:20:33.509,17.482,337.98,221.87,72.57,72.57,0.0815,0.11,0.17,2.49,LAB,0,23,0,17.98,-18.13,1557,1615,57,0.0,0.0,0.0,25.09,39.85,0,LOST
40,2026-03-11 16:20:34.449,18.4219,330.19,233.88,72.37,72.37,0.0611,0.04,-0.06,1.15,LAB,0,33,0,10.19,-6.12,1556,1609,56,0.0,0.0,0.0,21.12,47.35,0,LOST
10,2026-03-11 16:20:35.103,19.0752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1787.64,0.56,0,LOST
50,2026-03-11 16:20:35.390,19.3622,330.15,234.14,72.41,72.41,0.0622,0.0,0.01,0.14,LAB,0,43,0,10.15,-5.86,1556,1609,56,0.0,0.0,0.0,31.51,31.74,0,LOST
60,2026-03-11 16:20:38.093,22.0659,330.13,234.03,72.33,72.33,1.8992,0.02,-0.1,0.06,LAB,0,53,0,10.13,-5.97,1556,1609,56,0.0,0.0,0.0,1826.89,0.55,0,LOST
70,2026-03-11 16:20:38.892,22.8647,330.12,234.02,72.32,72.32,0.0469,0.01,-0.04,0.76,LAB,0,63,0,10.12,-5.98,1556,1609,56,0.0,0.0,0.0,14.45,69.2,0,LOST
80,2026-03-11 16:20:39.842,23.8147,330.1,234.11,72.34,72.34,0.0922,0.02,-0.14,1.56,LAB,0,73,0,10.1,-5.89,1556,1609,56,0.0,0.0,0.0,20.97,47.69,0,LOST
90,2026-03-11 16:20:40.774,24.7467,330.09,234.13,72.34,72.34,0.0961,0.02,-0.14,1.47,LAB,0,83,0,10.09,-5.87,1556,1609,56,0.0,0.0,0.0,16.77,59.63,0,LOST
100,2026-03-11 16:20:41.697,25.6699,330.05,234.27,72.4,72.4,0.0712,0.01,0.03,0.4,LAB,0,93,0,10.05,-5.73,1556,1609,56,0.0,0.0,0.0,23.67,42.24,0,LOST
110,2026-03-11 16:20:42.622,26.5947,330.04,234.19,72.4,72.4,0.0961,0.03,0.17,1.75,LAB,0,103,0,10.04,-5.81,1556,1609,56,0.0,0.0,0.0,18.68,53.52,0,LOST
120,2026-03-11 16:20:44.958,28.9308,330.07,234.16,72.34,72.34,1.5041,0.02,-0.15,0.1,LAB,0,113,0,10.07,-5.84,1556,1609,56,0.0,0.0,0.0,1421.21,0.7,0,LOST
130,2026-03-11 16:20:45.805,29.7774,330.01,234.18,72.35,72.35,0.1042,0.05,0.2,1.94,LAB,0,123,0,10.01,-5.82,1556,1609,56,0.0,0.0,0.0,31.05,32.2,0,LOST
140,2026-03-11 16:20:46.726,30.6981,330.02,234.22,72.32,72.32,0.0987,0.03,0.15,1.54,LAB,0,133,0,10.02,-5.78,1556,1609,56,0.0,0.0,0.0,23.85,41.93,0,LOST
150,2026-03-11 16:20:47.650,31.6227,330.09,234.0,72.27,72.27,0.0879,0.01,-0.08,0.9,LAB,0,143,0,10.09,-6.0,1556,1609,56,0.0,0.0,0.0,16.2,61.72,0,LOST
160,2026-03-11 16:20:48.567,32.5391,330.01,234.1,72.2,72.2,0.0921,-0.02,-0.16,1.8,LAB,0,153,0,10.01,-5.9,1556,1609,56,0.0,0.0,0.0,20.71,48.28,0,LOST
170,2026-03-11 16:20:49.503,33.4753,330.04,234.13,72.36,72.36,0.0799,0.06,-0.1,1.46,LAB,0,163,0,10.04,-5.87,1556,1609,56,0.0,0.0,0.0,20.66,48.4,0,LOST
20,2026-03-11 16:20:51.335,35.3076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1389.82,0.72,0,LOST
180,2026-03-11 16:20:51.720,35.692,330.03,234.14,72.27,72.27,1.3774,-0.02,-0.05,0.04,LAB,0,173,0,10.03,-5.86,1556,1609,56,0.0,0.0,0.0,1296.74,0.77,0,LOST
190,2026-03-11 16:20:52.578,36.5506,330.06,234.05,72.25,72.25,0.0959,0.03,0.04,0.53,LAB,0,183,0,10.06,-5.95,1556,1609,56,0.0,0.0,0.0,22.31,44.82,0,LOST
200,2026-03-11 16:20:53.514,37.4868,330.03,234.0,72.17,72.17,0.1001,-0.05,-0.0,0.53,LAB,0,193,0,10.03,-6.0,1556,1609,56,0.0,0.0,0.0,25.21,39.67,0,LOST
210,2026-03-11 16:20:54.561,38.5334,330.08,234.02,72.23,72.23,0.0827,0.02,-0.11,1.37,LAB,0,203,0,10.08,-5.98,1556,1609,56,0.0,0.0,0.0,40.82,24.5,0,LOST
220,2026-03-11 16:20:55.464,39.4361,330.06,234.04,72.27,72.27,0.0852,0.05,-0.13,1.68,LAB,0,213,0,10.06,-5.96,1556,1609,56,0.0,0.0,0.0,36.51,27.39,0,LOST
230,2026-03-11 16:20:56.384,40.356,330.06,234.2,72.36,72.36,0.1012,-0.01,0.17,1.67,LAB,0,223,0,10.06,-5.8,1556,1609,56,0.0,0.0,0.0,14.02,71.33,0,LOST
240,2026-03-11 16:20:59.066,43.0388,330.05,234.04,72.33,72.33,1.815,0.08,-0.15,0.09,LAB,0,233,0,10.05,-5.96,1556,1609,56,0.0,0.0,0.0,1767.03,0.57,0,LOST
250,2026-03-11 16:20:59.946,43.9186,330.01,234.08,72.27,72.27,0.1041,0.01,0.06,0.54,LAB,0,243,0,10.01,-5.92,1556,1609,56,0.0,0.0,0.0,24.35,41.06,0,LOST
260,2026-03-11 16:21:00.856,44.8282,329.99,234.07,72.29,72.29,0.1053,-0.07,0.01,0.65,LAB,0,253,0,9.99,-5.93,1556,1609,56,0.0,0.0,0.0,15.33,65.23,0,LOST
270,2026-03-11 16:21:01.776,45.7489,330.08,233.99,72.26,72.26,0.0689,0.02,-0.06,0.96,LAB,0,263,0,10.08,-6.01,1556,1609,56,0.0,0.0,0.0,11.2,89.28,0,LOST
280,2026-03-11 16:21:02.734,46.7066,330.06,234.12,72.31,72.31,0.088,0.03,-0.07,0.86,LAB,0,273,0,10.06,-5.88,1556,1609,56,0.0,0.0,0.0,26.22,38.15,0,LOST
290,2026-03-11 16:21:03.666,47.6387,330.05,234.0,72.26,72.26,0.092,0.03,-0.11,1.3,LAB,0,283,0,10.05,-6.0,1556,1609,56,0.0,0.0,0.0,40.16,24.9,0,LOST
300,2026-03-11 16:21:06.358,50.3305,330.08,234.0,72.25,72.25,1.8719,0.01,-0.08,0.04,LAB,0,293,0,10.08,-6.0,1556,1609,56,0.0,0.0,0.0,1789.02,0.56,0,LOST
30,2026-03-11 16:21:07.063,51.0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,0,0.0,0.0,1500,1500,0.0,0.0,0.0,0.0,1607.46,0.62,0,LOST
310,2026-03-11 16:21:07.230,51.2024,330.02,233.02,72.76,72.76,0.1159,-0.04,-0.07,0.72,LAB,0,303,0,10.02,-6.98,1556,1609,56,0.0,0.0,0.0,63.45,15.76,0,LOST
320,2026-03-11 16:21:08.150,52.1228,334.69,232.49,72.95,72.95,0.112,-0.15,-0.71,6.48,LAB,0,313,0,14.69,-7.51,1553,1609,53,0.383,0.344,0.636,52.13,19.18,0,IDEAL
330,2026-03-11 16:21:09.035,53.0077,315.17,262.33,91.62,91.62,0.0818,-2.51,-12.41,154.66,LAB,0,323,0,-4.83,22.33,1536,1659,36,0.586,-0.005,0.0,14.25,70.18,0,IDEAL
340,2026-03-11 16:21:09.978,53.9508,338.36,214.61,83.69,83.69,0.0748,1.58,-0.99,24.91,LAB,0,333,0,18.36,-25.39,1523,1646,23,0.793,-0.195,0.0,22.38,44.68,0,IDEAL
350,2026-03-11 16:21:11.074,55.0464,327.28,240.13,82.62,82.62,0.1486,4.95,1.38,34.55,LAB,0,343,0,7.28,0.13,1517,1610,17,0.711,-0.062,0.0,27.18,36.79,0,IDEAL
360,2026-03-11 16:21:13.549,57.521,376.72,468.41,170.43,170.43,1.3997,-31.22,22.43,27.47,LAB,0,353,0,56.72,228.41,1395,1809,-105,-0.138,-1.597,-1.26,1315.34,0.76,0,TOO_CLOSE
370,2026-03-11 16:21:15.247,59.2194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,353,0,0.0,0.0,1395,1809,0.0,0.0,0.0,0.0,175.34,5.7,1,LOST
380,2026-03-11 16:21:25.406,69.3788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1395,1809,0.0,0.0,0.0,0.0,847.0,1.18,0,LOST
390,2026-03-11 16:21:33.110,77.0824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1395,1809,0.0,0.0,0.0,0.0,601.21,1.66,0,LOST
400,2026-03-11 16:21:39.910,83.8824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1395,1809,0.0,0.0,0.0,0.0,614.07,1.63,0,LOST
410,2026-03-11 16:21:46.077,90.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1395,1809,0.0,0.0,0.0,0.0,605.5,1.65,0,LOST
420,2026-03-11 16:21:52.238,96.2108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,1,0,1,0.0,0.0,1395,1809,0.0,0.0,0.0,0.0,619.95,1.61,0,LOST
